U+0020   
U+0021  !
U+0022  "
U+0023  #
U+0024  $
U+0025  %
U+0026  &
U+0027  '
U+0028  (
U+0029  )
U+002A  *
U+002B  +
U+002C  ,
U+002D  -
U+002E  .
U+002F  /
U+0030  0
U+0031  1
U+0032  2
U+0033  3
U+0034  4
U+0035  5
U+0036  6
U+0037  7
U+0038  8
U+0039  9
U+003A  :
U+003B  ;
U+003C  <
U+003D  =
U+003E  >
U+003F  ?
U+0040  @
U+0041  A
U+0042  B
U+0043  C
U+0044  D
U+0045  E
U+0046  F
U+0047  G
U+0048  H
U+0049  I
U+004A  J
U+004B  K
U+004C  L
U+004D  M
U+004E  N
U+004F  O
U+0050  P
U+0051  Q
U+0052  R
U+0053  S
U+0054  T
U+0055  U
U+0056  V
U+0057  W
U+0058  X
U+0059  Y
U+005A  Z
U+005B  [
U+005C  \
U+005D  ]
U+005E  ^
U+005F  _
U+0060  `
U+0061  a
U+0062  b
U+0063  c
U+0064  d
U+0065  e
U+0066  f
U+0067  g
U+0068  h
U+0069  i
U+006A  j
U+006B  k
U+006C  l
U+006D  m
U+006E  n
U+006F  o
U+0070  p
U+0071  q
U+0072  r
U+0073  s
U+0074  t
U+0075  u
U+0076  v
U+0077  w
U+0078  x
U+0079  y
U+007A  z
U+007B  {
U+007C  |
U+007D  }
U+007E  ~
U+00A1  ¡
U+00BF  ¿
U+00C0  À
U+00C3  Ã
U+00C7  Ç
U+00C9  É
U+00D3  Ó
U+00E0  à
U+00E1  á
U+00E3  ã
U+00E4  ä
U+00E7  ç
U+00E8  è
U+00E9  é
U+00F1  ñ
U+00F3  ó
U+00F6  ö
U+00FC  ü
U+0105  ą
U+0107  ć
U+0119  ę
U+0142  ł
U+015B  ś
U+0410  А
U+0411  Б
U+0412  В
U+0415  Е
U+0416  Ж
U+0418  И
U+041A  К
U+041B  Л
U+041D  Н
U+041E  О
U+041F  П
U+0420  Р
U+0421  С
U+0423  У
U+0424  Ф
U+042B  Ы
U+0430  а
U+0431  б
U+0432  в
U+0433  г
U+0434  д
U+0435  е
U+0436  ж
U+0437  з
U+0438  и
U+0439  й
U+043A  к
U+043B  л
U+043C  м
U+043D  н
U+043E  о
U+043F  п
U+0440  р
U+0441  с
U+0442  т
U+0443  у
U+0444  ф
U+0445  х
U+0446  ц
U+0447  ч
U+0448  ш
U+044B  ы
U+044C  ь
U+044E  ю
U+044F  я
U+4E0B  下
U+4E2D  中
U+4E3A  为
U+4EF6  件
U+4FDD  保
U+4FEE  修
U+5220  删
U+5230  到
U+529F  功
U+52FF  勿
U+5347  升
U+53BB  去
U+540D  名
U+5417  吗
U+56FE  图
U+5728  在
U+574F  坏
U+5904  处
U+590D  复
U+5931  失
U+5B58  存
U+5C06  将
U+5DF2  已
U+5E38  常
U+5E76  并
U+5E8F  序
U+5E94  应
U+5F00  开
U+5F85  待
U+5FD7  志
U+6210  成
U+6240  所
U+6253  打
U+62F7  拷
U+6309  按
U+635F  损
U+636E  据
U+6570  数
U+6587  文
U+65AD  断
U+65E5  日
U+6709  有
U+672C  本
U+68C0  检
U+6B63  正
U+6D4B  测
U+6E90  源
U+7247  片
U+7406  理
U+7528  用
U+7535  电
U+7684  的
U+76D8  盘
U+76EE  目
U+786E  确
U+78C1  磁
U+7A0B  程
U+7B49  等
U+7CFB  系
U+7EA7  级
U+7EDF  统
U+7EE7  继
U+7EED  续
U+7F6E  置
U+8111  脑
U+88AB  被
U+8981  要
U+8BA4  认
U+8BF7  请
U+8D1D  贝
U+8D25  败
U+8D44  资
U+914D  配
U+91CD  重
U+952E  键
U+9664  除
U+9700  需
U+9879  项
